,sadness,joy,love,anger,fear,surprise
Naive Bayes,0.920108327691266,0.874871443263627,0.9085952533675433,0.9200338123415046,0.8792336640437907,0.9062146892655367
Logistic Regression,0.9404378075683014,0.906121045392022,0.9338294774308364,0.9363057324840764,0.895169578622816,0.9365384615384615
Linear SVM,0.9387134897855817,0.9075254003788531,0.9321868916288124,0.9347171074656846,0.8888135593220339,0.926046059033409
Random Forest,0.9213211136088535,0.8898275255191834,0.921994884910486,0.9195211173927502,0.8680808750414318,0.9086780210867802
